Sitio;Zona del Estuario;Franja Intermareal;Año;UI;Salinidad;Temperatura;Riqueza;Abundancia;Shannon_H;Equitatividad
PV;MEDIA;ALTA;2023;Medio;10.57;22.12;1;31;0;0
PV;MEDIA;MEDIA;2023;Medio;10.57;22.12;14;632;2.086;0.7906
PV;MEDIA;MEDIA;2023;Medio;10.57;22.12;14;703;1.911;0.7241
PV;MEDIA;MEDIA;2023;Medio;10.57;22.12;13;735;1.869;0.7286
PV;MEDIA;BAJA;2023;Medio;10.57;22.12;10;261;1.46;0.6341
PV;MEDIA;BAJA;2023;Medio;10.57;22.12;12;309;1.944;0.7823
PV;MEDIA;BAJA;2023;Medio;10.57;22.12;12;820;1.571;0.6323
PC;MEDIA;ALTA;2023;Medio;17.1;20.7;1;218;0;0
PC;MEDIA;ALTA;2023;Medio;17.1;20.7;1;605;0;0
PC;MEDIA;MEDIA;2023;Medio;17.1;20.7;12;541;1.851;0.7447
PC;MEDIA;MEDIA;2023;Medio;17.1;20.7;16;202;2.256;0.8136
PC;MEDIA;MEDIA;2023;Medio;17.1;20.7;16;761;1.971;0.711
PC;MEDIA;MEDIA;2023;Medio;17.1;20.7;11;247;1.06;0.4421
PC;MEDIA;BAJA;2023;Medio;17.1;20.7;18;450;2.26;0.782
PC;MEDIA;BAJA;2023;Medio;17.1;20.7;15;236;2.101;0.776
PE;MEDIA;ALTA;2023;Alto;21.85;19.65;1;6;0;0
PE;MEDIA;ALTA;2023;Alto;21.85;19.65;1;13;0;0
PE;MEDIA;ALTA;2023;Alto;21.85;19.65;1;5;0;0
PE;MEDIA;MEDIA;2023;Alto;21.85;19.65;10;135;1.421;0.6169
PE;MEDIA;MEDIA;2023;Alto;21.85;19.65;16;165;1.758;0.634
PE;MEDIA;MEDIA;2023;Alto;21.85;19.65;11;330;1.707;0.7119
PE;MEDIA;BAJA;2023;Alto;21.85;19.65;14;205;1.954;0.7403
PE;MEDIA;BAJA;2023;Alto;21.85;19.65;11;97;1.952;0.814
PE;MEDIA;BAJA;2023;Alto;21.85;19.65;16;273;1.904;0.6866
EC;EXTERNA;ALTA;2023;Medio;13.87;19.65;1;17;0;0
EC;EXTERNA;ALTA;2023;Medio;13.87;21.98;1;253;0;0
EC;EXTERNA;ALTA;2023;Medio;13.87;21.98;1;227;0;0
EC;EXTERNA;MEDIA;2023;Medio;13.87;21.98;17;637;1.852;0.6537
EC;EXTERNA;MEDIA;2023;Medio;13.87;21.98;15;753;1.807;0.6672
EC;EXTERNA;MEDIA;2023;Medio;13.87;21.98;15;818;0.8929;0.3297
EC;EXTERNA;BAJA;2023;Medio;13.87;21.98;13;230;1.937;0.7553
EC;EXTERNA;BAJA;2023;Medio;13.87;21.98;11;384;1.756;0.7323
EC;EXTERNA;BAJA;2023;Medio;13.87;21.98;15;345;2.146;0.7924
PD;EXTERNA;ALTA;2023;Bajo;19.37;18.8;2;200;0.4397;0.6343
PD;EXTERNA;ALTA;2023;Bajo;19.37;18.8;2;250;0.1132;0.1633
PD;EXTERNA;ALTA;2023;Bajo;19.37;18.8;2;248;0.5342;0.7706
PD;EXTERNA;MEDIA;2023;Bajo;19.37;18.8;12;599;1.275;0.5133
